store_id,direction,event_time,coef,se,t,p,raw_mean_diff,n_events,weight_sum
CA_1,down,-8,0.04602636372273758,0.03861997600342893,1.1917760828916895,0.2333490562039514,0.03512176329806212,422.0,422.0
CA_1,down,-7,0.051612389912376266,0.03773720075874233,1.3676793422580387,0.17141246888813555,0.040707789487697314,423.0,423.0
CA_1,down,-6,0.01929532444738248,0.038023317850345635,0.507460304314477,0.6118318822183824,0.008390724022703097,425.0,425.0
CA_1,down,-5,0.039068513386338835,0.03516049633249241,1.111147949018995,0.26650467164936853,0.028163912961660296,425.0,425.0
CA_1,down,-4,0.05994312749130487,0.03346173818701688,1.7913931176044746,0.07323023258755375,0.04903852706662335,425.0,425.0
CA_1,down,-3,0.062314202446102335,0.03107625910201202,2.0052028219209896,0.04494136853220121,0.05140960202142258,425.0,425.0
CA_1,down,-2,0.04191039582375396,0.028608694288440754,1.4649531153432511,0.1429337097670653,0.031005795399075515,425.0,425.0
CA_1,up,-8,0.04164019161402419,0.04192697279878435,0.99315998352334,0.32063199605974835,0.010529755058281494,473.0,473.0
CA_1,up,-7,0.08819960798664306,0.03811956797963148,2.3137620036452398,0.020680780667497928,0.05708917143090162,476.0,476.0
CA_1,up,-6,0.09353820592488174,0.036332263029419984,2.5745218746528216,0.010037873899374187,0.062427769369139414,476.0,476.0
CA_1,up,-5,0.12462140672198702,0.03801095175117251,3.278565807501594,0.0010433603390639,0.09351097016624411,476.0,476.0
CA_1,up,-4,0.13809269135480223,0.03489840818194588,3.95699112219801,7.589975044971497e-05,0.10698225479906048,476.0,476.0
CA_1,up,-3,0.13953269157654508,0.03326662500587447,4.1943747390035915,2.736253051949001e-05,0.10842225502080106,476.0,476.0
CA_1,up,-2,0.12834936662900945,0.03169875659726901,4.049034738481424,5.142931134571673e-05,0.09723893007326499,476.0,476.0
CA_2,down,-8,0.0142752152590535,0.03786654890321924,0.37698749087324107,0.70618290110693,0.049295723408342186,401.0,401.0
CA_2,down,-7,0.0041769772065477825,0.03487913729095724,0.11975574887945135,0.904676636863603,0.0391974853558336,401.0,401.0
CA_2,down,-6,-0.03511178540408598,0.0358112395762767,-0.9804683060271927,0.3268550069570785,-9.127725479899688e-05,402.0,402.0
CA_2,down,-5,-0.03837403021072905,0.0335440989929753,-1.1439875078703177,0.25262881773263246,-0.003353522061444474,402.0,402.0
CA_2,down,-4,-0.0051538521863518875,0.029256470193381318,-0.17616110734772925,0.860167374743955,0.029866655962936563,402.0,402.0
CA_2,down,-3,-0.019082814028179452,0.02888120243386162,-0.6607347485576259,0.5087824352578197,0.015937694121110242,402.0,402.0
CA_2,down,-2,-0.018351716520812432,0.02666807164470935,-0.6881531130299483,0.49135636650419634,0.016668791628475864,402.0,402.0
CA_2,up,-8,0.0687997330205654,0.04360694305020135,1.57772428444162,0.11462896481005584,-0.009941749902571803,408.0,408.0
CA_2,up,-7,0.14721962968223518,0.042734503886762476,3.4449827725234976,0.0005710957886884175,0.06847814675909845,409.0,409.0
