store_id,event_time,coef,se,t,p,raw_mean_diff,n_events,weight_sum
CA_1,-8,0.04370447479855871,0.02864888819635614,1.5255207985389638,0.12712924994769428,0.022125093021619403,895.0,895.0
CA_1,-7,0.07096073945703325,0.02685898146383048,2.641974326263719,0.008242430357539418,0.0493813576800947,899.0,899.0
CA_1,-6,0.05851797881285396,0.026270666295385138,2.227502650860956,0.025913698840265446,0.03693859703591473,901.0,901.0
CA_1,-5,0.08426626835611581,0.02605590078955077,3.23405700062802,0.0012204509490852764,0.06268688657917629,901.0,901.0
CA_1,-4,0.10122968953239748,0.02427928648563132,4.169384861960669,3.054228630841943e-05,0.07965030775545805,901.0,901.0
CA_1,-3,0.10310887594897636,0.022897312837449845,4.503099410876546,6.696953797408787e-06,0.08152949417203763,901.0,901.0
CA_1,-2,0.08757626719256767,0.021532341458794128,4.067196656720314,4.758208676772684e-05,0.06599688541562843,901.0,901.0
CA_1,0,0.6692126069589598,0.03566506017520757,18.763815444903145,1.4928845740881613e-78,0.6476332251820205,901.0,901.0
CA_1,1,0.8098583857057009,0.04359178396914492,18.578234519581347,4.821063633784702e-77,0.7882790039287623,901.0,901.0
CA_1,2,0.7471890776110965,0.04247832495675816,17.589890335170132,2.944468802359237e-69,0.7256096958341575,901.0,901.0
CA_1,3,0.7297932311321371,0.04202195792343956,17.36694973760524,1.4682641272263748e-67,0.7082138493551979,901.0,901.0
CA_1,4,0.6836232482080007,0.04158290236520411,16.440008015891777,9.89058531180292e-61,0.6620438664310613,900.0,900.0
CA_1,5,0.6872309390303626,0.04278277275909557,16.06326319474602,4.616137158254501e-58,0.6656515572534251,897.0,897.0
CA_1,6,0.6727084704923908,0.04205906138372338,15.994376677952332,1.3985102651110246e-57,0.6511290887154507,894.0,894.0
CA_1,7,0.6368927097332604,0.04374938201958698,14.55775328319193,5.2143523430991194e-48,0.6153133279563202,890.0,890.0
CA_1,8,0.6709195736430089,0.04286140936231544,15.653231744472082,3.157684260666849e-55,0.64934019186607,884.0,884.0
CA_2,-8,0.041841597249837256,0.028896910989650394,1.447960900209129,0.14762798595749832,0.019420705966002372,809.0,809.0
CA_2,-7,0.0764033032000804,0.027717502707009463,2.7565002521225987,0.005842356765888273,0.053982411916247586,810.0,810.0
CA_2,-6,0.057069640557635234,0.02713803333041406,2.102939437902315,0.03547106382411846,0.03464874927380454,812.0,812.0
CA_2,-5,0.05660898752248239,0.025467951130238357,2.22275389303971,0.026232399661465025,0.034188096238648935,812.0,812.0
CA_2,-4,0.09015961835750576,0.023534262598374777,3.8309939808240254,0.00012762662801879044,0.06773872707367115,812.0,812.0
CA_2,-3,0.07464125447431683,0.02375809591365344,3.1417187111961087,0.0016795931243007852,0.0522203631904839,812.0,812.0
CA_2,-2,0.08313725822304707,0.021880091013719617,3.7996760694878726,0.0001448853453393283,0.06071636693921484,812.0,812.0
CA_2,0,0.823646731622266,0.03872776467196126,21.267603193700015,2.2656493952637131e-100,0.8012258403384336,812.0,812.0
CA_2,1,0.9849288432552478,0.04675866992194634,21.064090251056694,1.6985717752708338e-98,0.9625079519714163,812.0,812.0
CA_2,2,0.844212556753167,0.04723767980831987,17.871592342782208,1.9630994767714816e-71,0.8217916654693347,812.0,812.0
CA_2,3,0.8219909559085846,0.04656206268940494,17.653662841178775,9.536558210239811e-70,0.7995700646247524,812.0,812.0
CA_2,4,0.8307129319973546,0.04629976349656861,17.942055623219776,5.536847477248097e-72,0.8082920407135222,809.0,809.0
CA_2,5,0.8443229674685595,0.04719344686991319,17.890682360962135,1.3939094066611387e-71,0.8219020761847274,808.0,808.0
CA_2,6,0.8382096948068984,0.047232984559072315,17.74627842453158,1.8416094386253514e-70,0.8157888035230663,800.0,800.0
CA_2,7,0.7893701772767324,0.047950827984283635,16.46207605706947,6.870310834433866e-61,0.7669492859928997,796.0,796.0
CA_2,8,0.8018122213825423,0.04830072679210303,16.600417315327753,6.92080859268138e-62,0.7793913300987091,789.0,789.0
CA_3,-8,0.29878955985131395,0.0340665388801175,8.770763619479366,1.7745864023980784e-18,0.0651576750031813,779.0,779.0
CA_3,-7,0.3037990932440967,0.03290425283050488,9.232821508180566,2.635951076316938e-20,0.07016720839596294,781.0,781.0
CA_3,-6,0.3101917737417959,0.032904780263826434,9.426951684670643,4.221798965270255e-21,0.07655988889366169,784.0,784.0
CA_3,-5,0.31294993653255243,0.03286114380400116,9.523403640455381,1.6759790178697656e-21,0.07931805168441677,784.0,784.0
CA_3,-4,0.2825684121346044,0.030886453373451712,9.148619581472717,5.766567522883342e-20,0.048936527286469404,784.0,784.0
CA_3,-3,0.27843269910477475,0.02999367070973408,9.283048473770595,1.6469754769190554e-20,0.04480081425664016,784.0,784.0
CA_3,-2,0.2116781541321816,0.02626410073989678,8.059600297322554,7.654431670883609e-16,-0.02195373071595284,784.0,784.0
CA_3,0,0.5772035165144336,0.04152421272243532,13.900408428516057,6.298094818120258e-44,0.34357163166629995,784.0,784.0
CA_3,1,0.44865211795168214,0.04903647800187257,9.149354444553488,5.727477799466732e-20,0.21502023310354793,784.0,784.0
CA_3,2,0.41704306506986716,0.04923071462735597,8.47119665490554,2.4288478345419412e-17,0.18341118022173342,784.0,784.0
CA_3,3,0.46426094012368446,0.05027189930089229,9.234999006998809,2.582884105339453e-20,0.23062905527555058,784.0,784.0
CA_3,4,0.46757771218102623,0.05044853339464288,9.268410411920483,1.8894062942868372e-20,0.23394582733289193,784.0,784.0
CA_3,5,0.5046503650584772,0.049742800468883346,10.145194084401453,3.480858148723793e-24,0.27101848021034386,781.0,781.0
CA_3,6,0.5357296740666283,0.05049809992922918,10.608907559243406,2.708978083495881e-26,0.3020977892184929,780.0,780.0
CA_3,7,0.5465203533184564,0.05035028445226428,10.854364762062017,1.9012412220998993e-27,0.31288846847032187,780.0,780.0
CA_3,8,0.5851919525247224,0.05109320626645761,11.453420039307604,2.2604745925273016e-30,0.3515600676765884,773.0,773.0
CA_4,-8,0.04963201575561671,0.02677090828419273,1.8539533746384933,0.06374583078509331,0.04803401346073038,905.0,905.0
CA_4,-7,0.04852820677054898,0.02528208884292012,1.9194698298886248,0.05492490094249327,0.04693020447566331,909.0,909.0
CA_4,-6,0.07171820873312154,0.024923465893836795,2.8775375398674545,0.0040079222011084,0.07012020643823712,911.0,911.0
CA_4,-5,0.04613761102742473,0.023460797772786837,1.9665832114601696,0.049231280525203244,0.0445396087325385,911.0,911.0
CA_4,-4,0.06918638126275692,0.023998214650219632,2.882980349628789,0.00393932014098081,0.06758837896787084,911.0,911.0
CA_4,-3,0.06415800149240261,0.022318384632560164,2.874670481249923,0.004044493578994954,0.06255999919751719,911.0,911.0
CA_4,-2,0.03763775446714125,0.019502867385869843,1.9298574780040005,0.053624499349433766,0.036039752172256787,911.0,911.0
