store_id,direction,event_time,coef,se,t,p,raw_mean_diff,n_events,weight_sum
CA_1,up,-8,0.04164019161402419,0.04192697279878435,0.99315998352334,0.32063199605974835,0.010529755058281494,473.0,473.0
CA_1,up,-7,0.08819960798664306,0.03811956797963148,2.3137620036452398,0.020680780667497928,0.05708917143090162,476.0,476.0
CA_1,up,-6,0.09353820592488174,0.036332263029419984,2.5745218746528216,0.010037873899374187,0.062427769369139414,476.0,476.0
CA_1,up,-5,0.12462140672198702,0.03801095175117251,3.278565807501594,0.0010433603390639,0.09351097016624411,476.0,476.0
CA_1,up,-4,0.13809269135480223,0.03489840818194588,3.95699112219801,7.589975044971497e-05,0.10698225479906048,476.0,476.0
CA_1,up,-3,0.13953269157654508,0.03326662500587447,4.1943747390035915,2.736253051949001e-05,0.10842225502080106,476.0,476.0
CA_1,up,-2,0.12834936662900945,0.03169875659726901,4.049034738481424,5.142931134571673e-05,0.09723893007326499,476.0,476.0
CA_1,up,0,0.452314912105605,0.046505019336805294,9.726152543444512,2.3324877660280937e-22,0.42120447554986273,476.0,476.0
CA_1,up,1,0.5214631399762818,0.05370889888779486,9.70906406153827,2.758584476216184e-22,0.49035270342053816,476.0,476.0
CA_1,up,2,0.5099163513291886,0.05520444239637336,9.236871693548478,2.5380913692251206e-20,0.4788059147734463,476.0,476.0
CA_1,up,3,0.5196729872983009,0.05488569681506982,9.468277118704917,2.844972292012488e-21,0.4885625507425578,476.0,476.0
CA_1,up,4,0.49969489738315487,0.05378005553845115,9.291453725366418,1.521951984571416e-20,0.46858446082741256,476.0,476.0
CA_1,up,5,0.49853667610434566,0.05548596621699087,8.984914746815459,2.589349641235134e-19,0.46742623954860235,475.0,475.0
CA_1,up,6,0.5008353555840036,0.05525036442317327,9.064833523051691,1.2479467378892276e-19,0.46972491902826063,472.0,472.0
CA_1,up,7,0.46164698694221734,0.05991435783144762,7.70511449427419,1.3072603201752328e-14,0.4305365503864756,470.0,470.0
CA_1,up,8,0.5287428881839077,0.05828722252342428,9.071334424477307,1.17568203409973e-19,0.49763245162816433,466.0,466.0
CA_2,down,-8,0.0142752152590535,0.03786654890321924,0.37698749087324107,0.70618290110693,0.049295723408342186,401.0,401.0
CA_2,down,-7,0.0041769772065477825,0.03487913729095724,0.11975574887945135,0.904676636863603,0.0391974853558336,401.0,401.0
CA_2,down,-6,-0.03511178540408598,0.0358112395762767,-0.9804683060271927,0.3268550069570785,-9.127725479899688e-05,402.0,402.0
CA_2,down,-5,-0.03837403021072905,0.0335440989929753,-1.1439875078703177,0.25262881773263246,-0.003353522061444474,402.0,402.0
CA_2,down,-4,-0.0051538521863518875,0.029256470193381318,-0.17616110734772925,0.860167374743955,0.029866655962936563,402.0,402.0
CA_2,down,-3,-0.019082814028179452,0.02888120243386162,-0.6607347485576259,0.5087824352578197,0.015937694121110242,402.0,402.0
CA_2,down,-2,-0.018351716520812432,0.02666807164470935,-0.6881531130299483,0.49135636650419634,0.016668791628475864,402.0,402.0
CA_2,down,0,0.9927112785116405,0.056760285919359485,17.489539780014603,1.7214177461581685e-68,1.027731786660928,402.0,402.0
CA_2,down,1,1.2196407688476134,0.07033593947644538,17.34022148458052,2.3383417314646975e-67,1.2546612769969012,402.0,402.0
CA_2,down,2,1.0329515009684802,0.0711885025598251,14.510088902353475,1.045849355168382e-47,1.067972009117768,402.0,402.0
CA_2,down,3,0.9893504777863482,0.06881999427883972,14.375916303883603,7.329354003524765e-47,1.024370985935635,402.0,402.0
CA_2,down,4,1.0019653504933297,0.06812011021551508,14.708804012843794,5.6598891175459515e-49,1.0369858586426168,402.0,402.0
CA_2,down,5,1.0499466062551472,0.06900574319420269,15.21535103680117,2.7971504356363513e-52,1.0849671144044348,401.0,401.0
CA_2,down,6,0.9802800048308061,0.06792954224909065,14.430834838194848,3.310496277768123e-47,1.0153005129800972,398.0,398.0
CA_2,down,7,0.9512022416698699,0.07056182427663095,13.480408867276044,2.0397335938473276e-41,0.9862227498191576,395.0,395.0
CA_2,down,8,0.9584051522331786,0.0702264420438448,13.647354533991813,2.0934115993901306e-42,0.9934256603824674,393.0,393.0
CA_2,up,-8,0.0687997330205654,0.04360694305020135,1.57772428444162,0.11462896481005584,-0.009941749902571803,408.0,408.0
CA_2,up,-7,0.14721962968223518,0.042734503886762476,3.4449827725234976,0.0005710957886884175,0.06847814675909845,409.0,409.0
CA_2,up,-6,0.14745240454937705,0.04027768470049734,3.660895745269994,0.00025133502015588563,0.06871092162624019,410.0,410.0
CA_2,up,-5,0.14973867808041363,0.03775619876197125,3.9659362698141436,7.310839633284077e-05,0.07099719515727711,410.0,410.0
CA_2,up,-4,0.18361331386635654,0.036215064767417864,5.0700810573049315,3.976463094369922e-07,0.1048718309432207,410.0,410.0
CA_2,up,-3,0.16653656066456513,0.037088423540338915,4.490257195306051,7.113722430786073e-06,0.08779507774143075,410.0,410.0
CA_2,up,-2,0.1826459602889779,0.03390491196322435,5.387005885374029,7.164108918124039e-08,0.10390447736584182,410.0,410.0
CA_2,up,0,0.6578810051600021,0.05161176296939161,12.746726081613584,3.251144312659236e-37,0.5791395222368658,410.0,410.0
CA_2,up,1,0.7547966625524903,0.05981812867643138,12.618192498721273,1.6762454331179925e-36,0.6760551796293555,410.0,410.0
CA_2,up,2,0.6591563236444938,0.06108914663572899,10.790072540626644,3.8348673066672194e-27,0.5804148407213586,410.0,410.0
CA_2,up,3,0.657896985677219,0.06194938434175135,10.619911604736052,2.4078902632531485e-26,0.5791555027540823,410.0,410.0
CA_2,up,4,0.6611492120703298,0.06186124632093762,10.687615452172949,1.1632322751526382e-26,0.5824077291471927,407.0,407.0
CA_2,up,5,0.6414566295596986,0.06312541278969891,10.161622731825913,2.9413951691271814e-24,0.5627151466365637,407.0,407.0
CA_2,up,6,0.6970037681280491,0.06514285672702372,10.699619315879735,1.0219720550700002e-26,0.6182622852049113,402.0,402.0
CA_2,up,7,0.6296982047979022,0.06433000055623668,9.788562091608036,1.2607600866090596e-22,0.5509567218747653,401.0,401.0
CA_2,up,8,0.6457199549372064,0.06574679325382428,9.82131481978624,9.11468718947665e-23,0.56697847201407,396.0,396.0
CA_3,down,-8,0.3638674183052021,0.04601909250908025,7.906879481237177,2.6392090417236507e-15,0.054128258783020765,486.0,486.0
CA_3,down,-7,0.41184836002944,0.04461330041591682,9.231515180224227,2.668302901625492e-20,0.10210920050725966,487.0,487.0
CA_3,down,-6,0.39091763148794784,0.04553701513618655,8.584612546932185,9.114308128708265e-18,0.08117847196576591,489.0,489.0
CA_3,down,-5,0.3717576622364488,0.045583749583797004,8.15548667300928,3.477765785212591e-16,0.062018502714268633,489.0,489.0
CA_3,down,-4,0.3284366031114279,0.04369402077330406,7.516740215221721,5.6158849392032545e-14,0.018697443589247173,489.0,489.0
CA_3,down,-3,0.3221450720777811,0.042429298302384275,7.5925147237157695,3.137558177540163e-14,0.012405912555599072,489.0,489.0
CA_3,down,-2,0.23769338766683448,0.03678661281680828,6.461409993100243,1.0373184822332983e-10,-0.0720457718553475,489.0,489.0
CA_3,down,0,0.4083819798412601,0.0533686845089917,7.652090052406197,1.9773867756447587e-14,0.0986428203190787,489.0,489.0
CA_3,down,1,0.16322421978569013,0.0614300160398632,2.657075975363096,0.007882167718925609,-0.1465149397364903,489.0,489.0
CA_3,down,2,0.16240350547421983,0.060774135487774196,2.6722470697570055,0.007534515069895755,-0.1473356540479615,489.0,489.0
CA_3,down,3,0.24961617132402839,0.06357937231805695,3.9260559238508836,8.635008747474323e-05,-0.06012298819815218,489.0,489.0
CA_3,down,4,0.284197440414836,0.06429680074363013,4.420086802576898,9.86612630427474e-06,-0.025541719107345907,489.0,489.0
CA_3,down,5,0.33083631256205137,0.06572949493531567,5.033300695336653,4.821060109766249e-07,0.021097153039870753,486.0,486.0
CA_3,down,6,0.3851750488684357,0.0662270074119599,5.815981484298158,6.0279138906404134e-09,0.07543588934625474,486.0,486.0
CA_3,down,7,0.3973363100503967,0.06622443203357398,5.999844737799458,1.9750628790279375e-09,0.08759715052821485,486.0,486.0
CA_3,down,8,0.468080722934206,0.06694717125938522,6.991792395837583,2.7139628686720557e-12,0.15834156341202493,483.0,483.0
CA_3,up,-8,0.19092660398865485,0.048296596159680044,3.9532103537360284,7.71095915265464e-05,0.08345220156631447,293.0,293.0
CA_3,up,-7,0.12473089599448814,0.044953261580499344,2.7746795584816075,0.005525612205296639,0.017256493572148274,294.0,294.0
CA_3,up,-6,0.17637840276597339,0.04322234245224068,4.080722902995504,4.489585160164013e-05,0.06890400034363127,295.0,295.0
CA_3,up,-5,0.21546865561998527,0.04338271010260453,4.966694222430548,6.810384292593669e-07,0.10799425319764538,295.0,295.0
