store_id,ate,se,t,p,n_events,tmin,tmax
CA_1,0.6316928626080662,0.03490959906302888,18.095105058856507,3.4827922413852785e-73,901,-8,8
CA_2,0.7793875222901163,0.040600288728651616,19.196600484767064,3.951212583600061e-82,812,-8,8
CA_3,0.2550956781013298,0.04727340749906678,5.396177081298099,6.807576170553963e-08,784,-8,8
CA_4,0.5454291081024982,0.029585121253856428,18.43592606643116,6.765043113423271e-76,911,-8,8
TX_1,0.5541820969090078,0.034597597401980276,16.017935883527215,9.577721537991548e-58,778,-8,8
TX_2,0.6102486563550884,0.038406669258699795,15.889132490104078,7.536330892631766e-57,824,-8,8
TX_3,0.6292875030329159,0.03580023485529966,17.5777478995996,3.647802635369469e-69,867,-8,8
WI_1,0.5502669236202733,0.03327789504433312,16.53550871794032,2.0365158751763814e-61,894,-8,8
WI_2,0.64559789166159,0.033609203328505706,19.20896146663569,3.114339292216063e-82,895,-8,8
WI_3,0.6468849084877271,0.03703940724927522,17.46477485814477,2.6574752458029634e-68,869,-8,8
